CCR2	NM_001123041
CCT2	NM_001198842
CCT4	NM_001256721
CD164	NM_001142401
CD276	NM_001024736
CD2AP	NM_012120
CD320	NM_001165895
CD46	NM_002389
CD47	NM_001777
CD55	NM_000574
CD58	NM_001144822
CD59	NM_000611
CD81	NM_001297649
CD83	NM_001040280
CDADC1	NM_001193478
CDAN1	NM_138477
CDC14A	NM_001319210
CDC16	NM_001078645
CDC25A	NM_001789
CDC25C	NM_001287582
CDC27	NM_001114091
CDC37	NM_007065
CDC37L1	NM_017913
CDC42	NM_001039802
CDC42EP4	NM_012121
CDC42SE2	NM_001038702
CDC5L	NM_001253
CDC6	NM_001254
CDCA2	NM_001317906
CDCA4	NM_017955
CDCA7	NM_031942
CDCA8	NM_001256875
CDH2	NM_001308176
CDH4	NM_001252338
CDIPT	NM_001286585
CDK1	NM_001170406
CDK12	NM_015083
CDK13	NM_003718
CDK17	NM_001170464
CDK19	NM_001300960
CDK5RAP1	NM_001278167
CDK5RAP2	NM_001011649
CDK5RAP3	NM_001278197
CDK6	NM_001145306
CDK7	NM_001324069
CDK8	NM_001260
CDK9	NM_001261
CDKAL1	NM_017774
CDKL2	NM_003948
CDKL3	NM_001113575
CDKN1A	NM_000389
CDKN1B	NM_004064
CDKN1C	NM_000076
CDKN2AIP	NM_001317343
CDKN2AIPNL	NM_080656
CDKN2C	NM_001262
CDKN3	NM_001130851
CDO1	NM_001323565
CDPF1	NM_207327
CDR1	NM_004065
CDR2	NM_001802
CDR2L	NM_014603
CDS1	NM_001263
CDV3	NM_001134422
CDX2	NM_001265
CEBPA	NM_001285829
CEBPG	NM_001252296
CECR2	NM_001290046
CELF3	NM_001172648
CELF4	NM_001025087
CENPA	NM_001042426
CENPE	NM_001286734
CENPF	NM_016343
CENPH	NM_022909
CENPJ	NM_018451
CENPM	NM_001002876
CENPV	NM_181716
CENPW	NM_001012507
CEP120	NM_001166226
CEP135	NM_025009
CEP152	NM_001194998
CEP164	NM_001271933
CEP192	NM_032142
CEP250	NM_001318219
CEP350	NM_014810
CEP55	NM_001127182
CEP70	NM_001288964
CEP72	NM_018140
CEP97	NM_001303401
CERCAM	NM_001286760
CERK	NM_022766
CETN3	NM_001297765
CFDP1	NM_006324
CFH	NM_000186
CFL2	NM_001243645
